年別,居住地,細分,合計,業務,觀光,探親,會議,求學,展覽,醫療,其他
2012,亞洲地區,香港.澳門 HongKong. Macao,"1,016,356","61,431","612,826","29,976","5,281","3,012",220,147,"303,463"
2012,亞洲地區,大陸 Mainland China,"2,586,428","49,185","2,019,757","58,052","3,707","3,366","3,392","55,740","393,229"
2012,亞洲地區,日本 Japan,"1,432,315","304,336","1,037,067","42,297","10,502","5,963","1,054",126,"30,970"
2012,亞洲地區,"韓國 Korea,Republic of","259,089","57,921","158,205","13,533","5,451","4,169","1,546",39,"18,225"
2012,亞洲地區,印度 India,"23,251","11,989","1,346","2,405","1,850",678,398,14,"4,571"
2012,亞洲地區,中東 Middle East,"13,032","7,949","1,538",848,789,329,412,22,"1,145"
2012,亞洲地區,東南亞地區 馬來西亞 Malaysia,"341,032","23,522","262,935","20,582","4,397","14,803","1,364",355,"13,074"
2012,亞洲地區,東南亞地區 新加坡 Singapore,"327,253","45,163","243,034","14,803","3,940","1,484",804,83,"17,942"
2012,亞洲地區,東南亞地區 印尼 Indonesia,"163,598","19,367","34,669","10,446","1,672","3,830",797,490,"92,327"
2012,亞洲地區,東南亞地區 菲律賓 Philippines,"105,130","21,340","23,011","7,974","2,785",913,467,431,"48,209"
2012,亞洲地區,東南亞地區 泰國 Thailand,"97,712","24,881","27,525","9,861","2,191","2,021",828,80,"30,325"
2012,亞洲地區,東南亞地區 越南 Vietnam,"89,354","12,797","6,775","25,396","1,118","4,554",126,162,"38,426"
2012,亞洲地區,東南亞地區 東南亞其他地區 Others,"8,513",647,"2,334","1,658",171,248,29,153,"3,273"
2012,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,132,592","147,717","600,283","90,720","16,274","27,853","4,415","1,754","243,576"
2012,亞洲地區,亞洲其他地區 Others,"10,621","2,438","1,395","1,981",592,"1,186",181,94,"2,754"
2012,亞洲地區,亞洲合計 Total,"6,473,684","642,966","4,432,417","239,812","44,446","46,556","11,618","57,936","997,933"
2012,美洲地區,加拿大 Canada,"70,614","11,629","35,877","17,379","1,023",677,163,55,"3,811"
2012,美洲地區,美國 United States of America,"411,416","122,290","106,843","142,526","6,720","4,745",593,274,"27,425"
2012,美洲地區,墨西哥 Mexico,"2,323",954,461,255,149,155,89,0,260
2012,美洲地區,巴西 Brazil,"4,097","1,638",964,612,164,128,100,1,490
2012,美洲地區,阿根廷 Argentina,"1,045",302,188,198,53,31,38,0,235
2012,美洲地區,美洲其他地區 Others,"8,102","1,953","1,187","1,233",531,"1,806",144,5,"1,243"
2012,美洲地區,美洲合計 Total,"497,597","138,766","145,520","162,203","8,640","7,542","1,127",335,"33,464"
2012,歐洲地區,比利時 Belgium,"4,781","2,194","1,294",553,170,158,42,0,370
2012,歐洲地區,法國 France,"31,452","11,685","8,057","5,592",860,"1,913",289,7,"3,049"
2012,歐洲地區,德國 Germany,"45,054","23,238","11,420","4,333","1,168","1,223",261,13,"3,398"
2012,歐洲地區,義大利 Italy,"12,932","7,351","1,972","1,056",532,350,232,3,"1,436"
2012,歐洲地區,荷蘭 Netherlands,"15,797","6,689","4,923","1,611",287,399,57,7,"1,824"
2012,歐洲地區,瑞士 Switzerland,"7,569","3,538","2,073",999,200,177,40,0,542
2012,歐洲地區,西班牙 Spain,"6,163","2,435","1,512",784,246,349,121,1,715
2012,歐洲地區,英國 United Kingdom,"42,776","17,202","15,820","5,532","1,205",354,275,17,"2,371"
2012,歐洲地區,奧地利 Austria,"5,609","2,135","1,779",869,144,180,36,1,465
2012,歐洲地區,希臘 Greece,"1,192",508,135,61,85,7,18,0,378
2012,歐洲地區,瑞典 Sweden,"7,128","3,263","1,848",873,186,369,46,3,540
2012,歐洲地區,俄羅斯 Russian Federation,"7,066","3,143",854,435,408,435,371,8,"1,412"
2012,歐洲地區,歐洲其他地區 Others,"30,526","10,282","9,858","2,250","1,419","1,328",562,18,"4,809"
2012,歐洲地區,歐洲合計 Total,"218,045","93,663","61,545","24,948","6,910","7,242","2,350",78,"21,309"
2012,大洋洲,澳大利亞 Australia,"63,597","11,927","32,635","12,410","1,953",487,415,54,"3,716"
2012,大洋洲,紐西蘭 New Zealand,"10,734","2,479","3,956","3,038",363,107,68,6,717
2012,大洋洲,大洋洲其他地區 Others,"1,083",210,239,123,90,146,11,23,241
2012,大洋洲,大洋洲合計 Total,"75,414","14,616","36,830","15,571","2,406",740,494,83,"4,674"
2012,非洲地區,南非 S. Africa,"4,222","1,768",670,"1,129",157,84,51,3,360
2012,非洲地區,非洲其他地區 Others,"4,643","1,967",282,445,423,549,144,6,827
2012,非洲地區,非洲合計 Total,"8,865","3,735",952,"1,574",580,633,195,9,"1,187"
2012,全區,未列明 Unstated,"37,865",21,66,105,6,6,5,3,"37,653"
2012,全區,總計 Grand Total,"7,311,470","893,767","4,677,330","444,213","62,988","62,719","15,789","58,444","1,096,220"
2015,亞洲地區,香港.澳門 HongKong. Macao,"1,513,597","87,629","1,308,290","43,683","7,704","6,402",212,"1,663","58,014"
2015,亞洲地區,大陸 Mainland China,"4,184,102","16,953","3,437,425","69,326",995,"19,064",102,"60,504","579,733"
2015,亞洲地區,日本 Japan,"1,627,229","264,258","1,187,552","20,594","10,332","5,515","1,123",125,"137,730"
2015,亞洲地區,"韓國 Korea,Republic of","658,757","58,951","508,226","14,688","5,435","5,611","2,614",78,"63,154"
2015,亞洲地區,印度 India,"32,198","11,569","2,483",832,"1,751",402,531,34,"14,596"
2015,亞洲地區,中東 Middle East,"18,753","8,644","3,882",628,662,233,395,13,"4,296"
2015,亞洲地區,東南亞地區 馬來西亞 Malaysia,"431,481","20,056","321,270","14,916","4,637","2,123","1,562",742,"66,175"
2015,亞洲地區,東南亞地區 新加坡 Singapore,"393,037","45,863","290,180","13,775","4,728","1,780",893,137,"35,681"
2015,亞洲地區,東南亞地區 印尼 Indonesia,"177,743","5,589","32,004","7,902","1,711","1,569",813,419,"127,736"
2015,亞洲地區,東南亞地區 菲律賓 Philippines,"139,217","6,590","30,153","4,443","2,591",557,305,291,"94,287"
2015,亞洲地區,東南亞地區 泰國 Thailand,"124,409","10,285","52,640","4,982","2,156",952,873,89,"52,432"
2015,亞洲地區,東南亞地區 越南 Vietnam,"146,380","6,283","13,187","14,576",964,954,215,115,"110,086"
2015,亞洲地區,東南亞地區 東南亞其他地區 Others,"13,218","1,064","3,656","1,240",329,119,69,"1,773","4,968"
2015,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,425,485","95,730","743,090","61,834","17,116","8,054","4,730","3,566","491,365"
2015,亞洲地區,亞洲其他地區 Others,"9,438","2,180",926,501,702,363,210,227,"4,329"
2015,亞洲地區,亞洲合計 Total,"9,469,559","545,914","7,191,874","212,086","44,697","45,644","9,917","66,210","1,353,217"
2015,美洲地區,加拿大 Canada,"90,666","8,284","43,858","16,208",767,516,137,47,"20,849"
2015,美洲地區,美國 United States of America,"479,452","103,654","143,140","140,800","6,069","4,052",587,377,"80,773"
2015,美洲地區,墨西哥 Mexico,"3,063",842,656,214,123,140,35,3,"1,050"
2015,美洲地區,巴西 Brazil,"4,120","1,044",983,441,118,112,76,1,"1,345"
2015,美洲地區,阿根廷 Argentina,"1,189",231,181,140,33,40,32,0,532
2015,美洲地區,美洲其他地區 Others,"9,702","1,452","1,480",795,326,604,116,8,"4,921"
2015,美洲地區,美洲合計 Total,"588,192","115,507","190,298","158,598","7,436","5,464",983,436,"109,470"
2015,歐洲地區,比利時 Belgium,"6,101","1,986","1,809",522,153,252,31,4,"1,344"
2015,歐洲地區,法國 France,"38,364","9,693","10,911","4,614",754,"1,898",281,9,"10,204"
2015,歐洲地區,德國 Germany,"54,954","20,791","17,725","3,439","1,025","1,318",262,12,"10,382"
2015,歐洲地區,義大利 Italy,"15,615","7,040","2,975",953,407,474,223,4,"3,539"
2015,歐洲地區,荷蘭 Netherlands,"19,267","6,780","6,223","1,175",287,525,90,6,"4,181"
2015,歐洲地區,瑞士 Switzerland,"9,453","3,199","3,133",927,186,201,48,1,"1,758"
2015,歐洲地區,西班牙 Spain,"9,065","2,683","2,480",838,222,408,97,5,"2,332"
2015,歐洲地區,英國 United Kingdom,"58,784","13,678","19,021","4,687","1,030",409,252,22,"19,685"
2015,歐洲地區,奧地利 Austria,"6,243","2,044","1,928",745,95,191,31,1,"1,208"
2015,歐洲地區,希臘 Greece,"1,465",439,162,50,41,12,17,1,743
2015,歐洲地區,瑞典 Sweden,"8,106","2,740","2,336",648,136,296,31,1,"1,918"
2015,歐洲地區,俄羅斯 Russian Federation,"7,808","2,276","1,215",258,454,190,327,17,"3,071"
2015,歐洲地區,歐洲其他地區 Others,"38,810","9,638","12,714","1,834","1,131","1,038",528,21,"11,906"
2015,歐洲地區,歐洲合計 Total,"274,035","82,987","82,632","20,690","5,921","7,212","2,218",104,"72,271"
2015,大洋洲,澳大利亞 Australia,"76,122","9,698","34,534","12,679","1,825",465,358,59,"16,504"
2015,大洋洲,紐西蘭 New Zealand,"12,805","1,823","4,356","3,088",320,69,81,4,"3,064"
2015,大洋洲,大洋洲其他地區 Others,"1,886",178,342,105,86,77,12,473,613
2015,大洋洲,大洋洲合計 Total,"90,813","11,699","39,232","15,872","2,231",611,451,536,"20,181"
2015,非洲地區,南非 S. Africa,"4,893","1,013",726,515,124,34,44,1,"2,436"
2015,非洲地區,非洲其他地區 Others,"5,267","1,701",411,238,350,233,135,10,"2,189"
2015,非洲地區,非洲合計 Total,"10,160","2,714","1,137",753,474,267,179,11,"4,625"
2015,全區,未列明 Unstated,"7,026",68,284,35,18,6,1,1,"6,613"
2015,全區,總計 Grand Total,"10,439,785","758,889","7,505,457","408,034","60,777","59,204","13,749","67,298","1,566,377"
2016,亞洲地區,香港.澳門 HongKong. Macao,"1,614,803","87,032","1,397,233","44,083","8,071","5,913",180,"2,439","69,852"
2016,亞洲地區,大陸 Mainland China,"3,511,734","14,982","2,845,547","67,584",704,"25,191",89,"30,713","526,924"
2016,亞洲地區,日本 Japan,"1,895,702","253,159","1,379,233","21,403","10,572","5,707","1,245",124,"224,259"
2016,亞洲地區,"韓國 Korea,Republic of","884,397","59,578","693,224","17,791","5,727","6,112","3,125",81,"98,759"
2016,亞洲地區,印度 India,"33,550","12,053","3,260",903,"2,132",344,498,38,"14,322"
2016,亞洲地區,中東 Middle East,"19,862","8,470","5,127",658,626,242,386,45,"4,308"
2016,亞洲地區,東南亞地區 馬來西亞 Malaysia,"474,420","19,269","339,710","15,475","4,569","2,211","1,540",743,"90,903"
2016,亞洲地區,東南亞地區 新加坡 Singapore,"407,267","43,378","292,240","13,931","4,472","1,839",964,189,"50,254"
2016,亞洲地區,東南亞地區 印尼 Indonesia,"188,720","5,201","32,868","8,626","2,019","1,752",738,530,"136,986"
2016,亞洲地區,東南亞地區 菲律賓 Philippines,"172,475","6,551","48,198","4,843","3,238",591,527,255,"108,272"
2016,亞洲地區,東南亞地區 泰國 Thailand,"195,640","10,179","110,116","6,652","2,490","1,367",866,94,"63,876"
2016,亞洲地區,東南亞地區 越南 Vietnam,"196,636","6,916","36,839","17,098","1,321","1,317",318,195,"132,632"
2016,亞洲地區,東南亞地區 東南亞其他地區 Others,"18,750","1,379","7,581","1,734",418,166,107,"1,395","5,970"
2016,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,653,908","92,873","867,552","68,359","18,527","9,243","5,060","3,401","588,893"
2016,亞洲地區,亞洲其他地區 Others,"10,837","2,222","1,520",557,"1,069",366,231,231,"4,641"
2016,亞洲地區,亞洲合計 Total,"9,624,793","530,369","7,192,696","221,338","47,428","53,118","10,814","37,072","1,531,958"
2016,美洲地區,加拿大 Canada,"106,197","7,843","54,987","17,536",913,532,131,79,"24,176"
2016,美洲地區,美國 United States of America,"523,888","97,081","166,044","148,645","6,434","3,983",571,397,"100,733"
2016,美洲地區,墨西哥 Mexico,"3,138",831,777,205,90,146,49,2,"1,038"
2016,美洲地區,巴西 Brazil,"4,171",905,"1,143",405,113,109,63,1,"1,432"
2016,美洲地區,阿根廷 Argentina,"1,281",265,259,154,33,40,44,0,486
2016,美洲地區,美洲其他地區 Others,"10,662","1,321","1,966",933,386,636,130,9,"5,281"
2016,美洲地區,美洲合計 Total,"649,337","108,246","225,176","167,878","7,969","5,446",988,488,"133,146"
2016,歐洲地區,比利時 Belgium,"6,627","1,886","2,229",500,184,292,47,4,"1,485"
2016,歐洲地區,法國 France,"42,380","9,541","12,611","4,756",931,"2,173",321,11,"12,036"
2016,歐洲地區,德國 Germany,"59,798","19,738","20,976","3,849","1,097","1,591",257,21,"12,269"
2016,歐洲地區,義大利 Italy,"17,102","7,236","3,617",936,501,476,252,5,"4,079"
2016,歐洲地區,荷蘭 Netherlands,"23,254","6,905","8,335","1,327",315,619,88,6,"5,659"
2016,歐洲地區,瑞士 Switzerland,"10,225","3,062","3,538",948,208,166,46,5,"2,252"
2016,歐洲地區,西班牙 Spain,"10,686","2,470","3,478",975,257,524,130,2,"2,850"
2016,歐洲地區,英國 United Kingdom,"59,867","12,495","21,341","4,956","1,082",489,283,15,"19,206"
2016,歐洲地區,奧地利 Austria,"6,867","2,069","2,231",787,99,226,25,3,"1,427"
2016,歐洲地區,希臘 Greece,"1,572",516,202,55,47,13,15,3,721
2016,歐洲地區,瑞典 Sweden,"8,744","2,620","2,739",607,183,362,51,2,"2,180"
2016,歐洲地區,俄羅斯 Russian Federation,"7,974","2,317","1,207",269,314,229,278,9,"3,351"
2016,歐洲地區,歐洲其他地區 Others,"44,660","9,467","16,299","1,894","1,109","1,155",621,16,"14,099"
2016,歐洲地區,歐洲合計 Total,"299,756","80,322","98,803","21,859","6,327","8,315","2,414",102,"81,614"
2016,大洋洲,澳大利亞 Australia,"82,361","9,348","37,355","13,352","2,091",550,430,60,"19,175"
2016,大洋洲,紐西蘭 New Zealand,"13,676","1,827","4,869","3,135",317,83,46,10,"3,389"
2016,大洋洲,大洋洲其他地區 Others,"2,189",260,331,140,113,77,20,506,742
2016,大洋洲,大洋洲合計 Total,"98,226","11,435","42,555","16,627","2,521",710,496,576,"23,306"
2016,非洲地區,南非 S. Africa,"5,077",855,731,629,125,49,35,1,"2,652"
2016,非洲地區,非洲其他地區 Others,"5,591","1,692",447,262,325,315,129,20,"2,401"
2016,非洲地區,非洲合計 Total,"10,668","2,547","1,178",891,450,364,164,21,"5,053"
2016,全區,未列明 Unstated,"7,499",49,345,32,9,1,0,1,"7,062"
2016,全區,總計 Grand Total,"10,690,279","732,968","7,560,753","428,625","64,704","67,954","14,876","38,260","1,782,139"
