國籍,細分,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
亞洲地區,日本 Japan,977705,"659,972","890,444","1,127,184","1,163,835","1,170,582","1,090,585","1,007,618","1,102,054","1,300,022","1,443,009","1,434,346","1,637,264","1,629,193","1,896,456"
亞洲地區,"韓國 Korea,Republic of",86408,"94,060","149,182","184,559","198,507","228,582","252,973","170,646","223,940","246,149","262,340","355,473","531,703","662,670","887,412"
亞洲地區,印度 India,17379,"15,817","20,538","21,986","22,463","24,678","23,327","22,126","28,931","28,048","27,659","28,321","34,332","36,833","38,331"
亞洲地區,中東 Middle East,10224,"8,422","12,838","13,262","12,687","13,446","12,356","12,182","13,349","13,361","12,608","13,758","15,734","16,800","17,453"
亞洲地區,東南亞地區 馬來西亞 Malaysia,66516,"75,869","105,246","123,961","132,996","159,839","171,630","184,577","311,349","331,744","367,817","424,053","464,518","458,401","500,496"
亞洲地區,東南亞地區 新加坡 Singapore,80028,"66,629","101,379","146,621","163,169","184,303","189,330","180,819","223,401","273,327","297,624","330,293","341,857","354,767","371,663"
亞洲地區,東南亞地區 印尼 Indonesia,92076,"39,826","46,713","91,356","93,847","98,692","113,099","113,038","133,491","161,685","169,136","176,919","186,558","181,734","192,053"
亞洲地區,東南亞地區 菲律賓 Philippines,70501,"77,570","84,219","89,263","77,596","82,366","85,466","78,765","92,525","102,417","105,525","101,594","136,998","139,758","171,816"
亞洲地區,東南亞地區 泰國 Thailand,116394,"98,056","101,784","92,342","94,191","88,947","83,968","80,712","97,678","101,088","95,687","104,182","102,457","121,337","193,200"
亞洲地區,東南亞地區 越南 Vietnam,110650,"98,390","103,089","93,568","95,643",-,-,-,"82,134","95,921","87,886","118,391","135,173","143,930","194,323"
亞洲地區,東南亞地區 東南亞其他地區 Others,57175,"104,094","132,122","95,396","82,742","89,840","85,960","72,958","88,240","102,962","7,775","8,862","10,023","11,496","15,018"
亞洲地區,東南亞地區 東南亞小計 Sub-Total,482690,"462,044","571,463","638,939","644,541","703,987","729,453","710,869","946,684","1,073,223","1,131,450","1,264,294","1,377,584","1,411,423","1,638,569"
亞洲地區,亞洲其他地區 Others,4798,"4,792","8,202","6,427","5,600","4,759","7,484","5,302","6,683","7,357","8,105","8,251","8,794","9,330","10,175"
亞洲地區,亞洲合計 Total,1579204,"1,245,107","1,652,667","1,992,357","2,047,633","2,146,034","2,116,178","1,928,743","2,321,641","2,668,160","2,885,171","3,104,443","3,605,411","3,766,249","4,488,396"
美洲地區,加拿大 Canada,61779,"50,766","71,692","77,291","77,096","81,345","82,776","85,684","94,531","95,762","102,300","110,947","123,111","126,003","143,691"
美洲地區,美國 United States of America,366297,"291,290","402,669","409,740","414,305","417,804","403,172","394,083","428,650","432,071","432,360","442,299","476,961","497,410","542,261"
美洲地區,墨西哥 Mexico,1833,"1,404","2,257","2,177","2,298","2,695","2,427","2,033","2,461","2,249","2,543","2,703","3,452","3,310","3,355"
美洲地區,巴西 Brazil,2482,"2,093","3,086","3,210","3,519","4,224","4,234","3,841","4,472","4,436","4,287","4,239","4,671","4,267","4,376"
美洲地區,阿根廷 Argentina,1036,534,792,754,793,882,906,926,"1,023",926,"1,003","1,165","1,188","1,130","1,228"
美洲地區,美洲其他地區 Others,5976,"4,337","5,779","6,378","6,865","7,039","6,867","6,992","8,061","8,211","8,497","8,875","9,286","9,837","10,967"
美洲地區,美洲合計 Total,439403,"350,424","486,275","499,550","504,876","513,989","500,382","493,559","539,198","543,655","550,990","570,228","618,669","641,957","705,878"
歐洲地區,比利時 Belgium,4234,"3,493","4,494","4,922","4,642","4,857","4,842","5,238","5,397","5,090","5,511","5,741","6,236","6,914","7,343"
歐洲地區,法國 France,26736,"19,681","26,386","27,442","28,388","30,117","29,238","31,352","34,310","36,255","38,861","41,232","44,279","47,358","51,529"
歐洲地區,德國 Germany,37955,"31,643","40,755","43,752","42,757","44,189","44,307","44,255","48,550","49,428","49,702","52,494","56,818","59,376","63,698"
歐洲地區,義大利 Italy,11668,"8,442","11,232","12,021","11,922","12,705","13,807","13,433","13,926","14,143","14,775","16,026","16,903","18,079","19,647"
歐洲地區,荷蘭 Netherlands,13792,"10,152","13,401","14,463","13,985","15,100","14,306","13,670","15,833","16,587","18,275","19,264","20,829","21,532","25,640"
歐洲地區,瑞士 Switzerland,6261,"4,752","6,391","6,739","6,974","7,258","6,690","7,038","7,306","7,436","7,974","8,782","9,251","9,785","10,234"
歐洲地區,西班牙 Spain,4049,"2,998","4,656","4,847","4,924","5,249","5,785","6,119","6,539","7,060","7,028","8,304","9,474","10,286","12,004"
歐洲地區,英國 United Kingdom,68414,"53,210","67,084","66,897","66,156","69,658","76,549","74,717","78,025","75,021","78,261","83,884","95,728","97,048","98,693"
歐洲地區,奧地利 Austria,4946,"3,334","4,198","4,885","5,656","5,568","5,370","5,021","6,231","7,277","6,381","6,211","6,688","6,850","7,403"
歐洲地區,希臘 Greece,1196,959,"1,599","1,462","1,435","1,445","1,489","1,491","1,460","1,306","1,389","1,420","1,673","1,685","1,805"
歐洲地區,瑞典 Sweden,6140,"4,710","6,460","6,517","6,491","6,898","7,343","7,083","7,843","8,022","8,153","8,414","9,162","9,178","9,836"
歐洲地區,歐洲其他地區 Others,23719,"18,544","28,363","33,785","35,524","41,491","46,303","48,873","50,409","52,939","55,947","57,882","63,318","65,021","70,842"
歐洲地區,歐洲合計 Total,209110,"161,918","215,019","227,732","228,854","244,535","256,029","258,290","275,829","280,564","292,257","309,654","340,359","353,112","378,674"
大洋洲,澳大利亞 Australia,39595,"34,071","51,387","56,765","52,909","62,542","68,153","69,025","76,044","73,061","78,145","85,098","93,508","92,274","98,650"
大洋洲,紐西蘭 New Zealand,8348,"7,309","10,122","10,786","10,756","11,272","11,601","10,870","12,190","12,558","14,301","15,092","16,760","16,622","17,575"
大洋洲,大洋洲其他地區 Others,391,282,682,687,735,950,793,692,829,953,906,"1,090","1,406","1,596","1,982"
大洋洲,大洋洲合計 Total,48334,"41,662","62,191","68,238","64,400","74,764","80,547","80,587","89,063","86,572","93,352","101,280","111,674","110,492","118,207"
非洲地區,南非 S.Africa,5486,"5,712","6,804","6,205","5,937","5,555","5,267","4,570","4,843","4,770","4,399","4,436","4,610","5,000","5,133"
非洲地區,非洲其他地區 Others,3993,"2,566","3,710","3,803","3,699","3,761","3,891","4,101","4,666","4,656","5,086","5,094","5,740","5,572","5,869"
非洲地區,非洲合計 Total,9479,"8,278","10,514","10,008","9,636","9,316","9,158","8,671","9,509","9,426","9,485","9,530","10,350","10,572","11,002"
全區,未列明 Unstated,6341,"4,645","1,631",325,230,177,242,232,237,350,380,464,585,665,863
全區,華僑 Overseas Chinese,539164,"436,083","522,045","579,908","664,198","727,248","882,651","1,624,922","2,331,800","2,498,757","3,479,835","3,920,681","5,223,156","5,556,738","4,987,259"
全區,總計 Grand Total,2831035,"2,248,117","2,950,342","3,378,118","3,519,827","3,716,063","3,845,187","4,395,004","5,567,277","6,087,484","7,311,470","8,016,280","9,910,204","10,439,785","10,690,279"