geo;indicator;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
are;electricity_generation_total;12000000000.0;12814000000.0;13658000000.0;14840000000.0;15612000000.0;17081000000.0;17352000000.0;18689000000.0;21730000000.0;23736000000.0;24982000000.0;26572000000.0;28464000000.0;33392000000.0;37126999999.999985;39944000000.0;43172000000.0;46586000000.000015;49540000000.0;52417000000.0;60698000000.0;66768000000.0;78761000000.00003;80463000000.00003;85698000000.0;93949000000.0;99137000000.0;106220000000.0;109980000000.0;116530000000.0;127370000000.0;136800000000.00003
arg;electricity_generation_total;45297000000.0;49053999999.999985;52129000000.0;53058000000.0;50915000000.0;51053000000.000015;53858000000.000015;56531000000.000015;61595000000.0;65463000000.000015;68827000000.0;72880000000.0;77624000000.0;80292000000.0;86151000000.00003;94401000000.00003;95151000000.00003;90307000000.0;97583000000.0;105180000000.0;110960000000.0;112830000000.0;115210000000.0;129000000000.0;129759999999.99997;132520000000.00003;129479999999.99997;136030000000.0;139740000000.0;141560000000.0;145420000000.0;146880000000.0
aus;electricity_generation_total;123670000000.0;129530000000.0;135810000000.0;143370000000.0;151430000000.0;155650000000.0;157960000000.0;161400000000.0;165380000000.0;170140000000.0;175220000000.0;180130000000.0;188980000000.0;199470000000.0;206900000000.0;216830000000.0;224250000000.0;223500000000.0;225950000000.0;229220000000.0;230740000000.0;237990000000.0;243180000000.0;245370000000.0;249900000000.0;250960000000.0;256300000000.0;250670000000.0;249560000000.0;247420000000.0;253040000000.0;256890000000.0
aut;electricity_generation_total;44535000000.0;44653000000.0;50518000000.0;49023999999.999985;50174000000.0;50413999999.999985;51483999999.999985;51180000000.0;52675000000.0;53309000000.0;56587000000.0;54835000000.0;56851000000.000015;57437000000.0;60369000000.0;61798000000.0;62253000000.0;62452000000.0;60618000000.0;64857000000.0;66735000000.0;64363999999.999985;64853000000.000015;66926999999.999985;69063000000.0;71070000000.0;65854000000.0;72390000000.0;68036999999.999985;65108999999.999985;64947000000.0;67628000000.0
aze;electricity_generation_total;20702000000.0;21542000000.0;22909000000.0;23572000000.0;23300000000.0;23200000000.0;23356000000.0;19673000000.0;19100000000.0;17571000000.0;17044000000.0;17088000000.0;16800000000.0;17900000000.0;18100000000.0;18700000000.0;18969000000.0;18701000000.0;21286000000.0;21744000000.0;22872000000.0;24543000000.0;21847000000.0;21642000000.0;18869000000.0;18709000000.0;20294000000.0;22988000000.0;23354000000.0;24728000000.0;24688000000.0;24974000000.0
bel;electricity_generation_total;57321999999.999985;58676000000.0;63367000000.0;65348999999.999985;67547000000.0;70923000000.0;71936000000.0;72225000000.0;70834000000.0;72179000000.0;74408000000.0;76098999999.99997;78833000000.0;83183000000.0;84514000000.0;84012000000.0;79821000000.0;82069000000.0;84630000000.0;85642999999.99997;87025000000.0;85617000000.0;88822000000.0;84930000000.0;91235000000.0;95189000000.0;90241000000.0;82922999999.99997;83488000000.0;72672000000.0;70648000000.0;86892999999.99997
bgd;electricity_generation_total;4528000000.0;4800000000.0;5587000000.0;6541000000.0;7115000000.0;7732000000.0;8270000000.0;8894000000.0;9206000000.0;9784000000.0;10806000000.0;11474000000.0;11858000000.0;12882000000.0;14450000000.0;15771000000.0;17392000000.0;18665000000.0;19712000000.0;24683000000.0;26447000000.0;29531000000.0;31005000000.0;34218000000.0;37177000000.0;40790000000.0;44153000000.0;48562000000.0;53120000000.0;55845000000.0;60762000000.0;67387000000.0
bgr;electricity_generation_total;41632000000.0;41820000000.0;43473000000.0;45021000000.0;44331000000.0;42141000000.000015;40861999999.999985;35610000000.0;37997000000.0;38133000000.0;41788999999.999985;42716000000.0;42803000000.000015;41711000000.000015;38248000000.000015;40924000000.0;43968000000.0;42678999999.999985;42600000000.0;41621000000.0;44365000000.0;45843000000.0;43297000000.0;45037000000.0;42964000000.0;46653000000.0;50797000000.0;47328999999.999985;43784000000.0;47485000000.0;49228000000.0;45093000000.0
blr;electricity_generation_total;33175000000.0;36282000000.0;37453000000.0;38150000000.0;38489000000.000015;39526000000.0;38735000000.0;37595000000.0;33369000000.0;31397000000.0;24918000000.0;23728000000.0;26100000000.0;23500000000.0;26500000000.0;26100000000.0;25042000000.0;26455000000.0;26627000000.0;31211000000.0;30961000000.0;31811000000.0;31829000000.0;35054000000.0;30405000000.0;34890000000.0;32203000000.0;30794000000.0;31507000000.0;34736999999.999985;34082000000.0;33100000000.0
bra;electricity_generation_total;193680000000.0;202130000000.0;203330000000.0;214950000000.0;221740000000.0;222820000000.0;234380000000.0;241760000000.0;252000000000.0;260040000000.00006;275600000000.0;291250000000.0;307980000000.0;321750000000.0;334730000000.0;348920000000.0;328520000000.0;345680000000.0;364340000000.0;387450000000.0;403030000000.0;419380000000.0;445150000000.0;463120000000.0;466160000000.0;515800000000.0;531760000000.0;552500000000.0;570830000000.0;590540000000.0;581490000000.0;581660000000.0
can;electricity_generation_total;460410000000.0;470690000000.0;497830000000.0;505970000000.0;495330000000.0;478180000000.0;502720000000.0;514690000000.0001;524660000000.0;547810000000.0;551340000000.0;566080000000.0;569030000000.0;558730000000.0;573090000000.0;599240000000.0;581830000000.0;594830000000.0;580240000000.0;587110000000.0;613040000000.0;601500000000.0;625560000000.0;627670000000.0;604200000000.0;596650000000.0;628560000000.0;629010000000.0;651190000000.0;648630000000.0;652280000000.0;663010000000.0
che;electricity_generation_total;56492000000.0;57563999999.999985;59890000000.0;60690000000.0;54766999999.999985;60004000000.0;62161000000.0;63576000000.0;65878000000.0;71455000000.0;67828000000.0;61170000000.0;67435000000.0;67610000000.0;74781000000.0;72420000000.0;77325000000.0;71671000000.0;72030000000.0;70483000000.0;62277000000.0;66818000000.0;70877000000.0;72008000000.0;71499000000.0;71238999999.99997;67613999999.999985;73139000000.0;73454000000.0;74874000000.0;70922000000.0;66253999999.999985
chl;electricity_generation_total;14040000000.0;14820000000.0;15637000000.0;16915000000.0;17811000000.0;18398000000.0;19963000000.0;22350000000.0;24013000000.0;25276000000.0;28027000000.0;30791000000.0;33292000000.0;35495000000.0;38384000000.0;41268000000.0;43917000000.0;45483999999.999985;48780000000.0;52854000000.0;54483000000.000015;57555000000.0;60138000000.000015;60858000000.000015;61038000000.0;61608000000.000015;65036999999.999985;69729000000.0;72970000000.0;73598000000.0;75425000000.0;77464000000.0
chn;electricity_generation_total;410690000000.0;449530000000.0;497270000000.0;545210000000.0001;584810000000.0;621200000000.0;677550000000.0;753940000000.0;811590000000.0;927800000000.0;1007000000000.0;1081300000000.0;1135500000000.0;1167000000000.0;1239300000000.0;1355600000000.0;1480800000000.0;1654000000000.0;1910600000000.0;2203300000000.0;2500300000000.0;2865700000000.0;3281600000000.0;3495800000000.0;3714600000000.0;4207200000000.0;4713000000000.0;4987600000000.0;5431600000000.0;5649600000000.0;5814600000000.0;6142500000000.0
col;electricity_generation_total;29375000000.0;31653000000.0;33680000000.0;35473000000.0;37021000000.0;38246000000.0;40124000000.0;36613000000.0;41691000000.0;45023999999.999985;47483000000.000015;48371000000.0;49906000000.000015;50283000000.0;47775000000.0;46780000000.0;48208000000.0;50283000000.0;52113000000.0;53839000000.0;55897000000.0;59703999999.999985;61081000000.0;61927000000.0;63788000000.0;66962000000.0;68022999999.999985;69407000000.0;71612000000.0;74527000000.0;77043000000.0;78536999999.99997
cze;electricity_generation_total;58121000000.0;60606000000.0;62196000000.000015;64334000000.0;65131000000.0;62560000000.0;60528000000.0;59293000000.0;58882000000.0;58705000000.0;60847000000.0;64257000000.000015;64598000000.0;64930000000.000015;64691999999.999985;73466000000.00003;74646999999.99997;76348000000.0;83227000000.0;84333000000.0;82579000000.0;84361000000.0;88024000000.0;83516000000.0;82250000000.0;85900000000.0;87561000000.0;87574000000.0;87065000000.0;86002999999.99997;83887999999.99997;83299000000.0
deu;electricity_generation_total;522530000000.0;523560000000.0;532440000000.0001;549490000000.0;559870000000.0;549900000000.0;540220000000.0;538170000000.0;527120000000.0;528470000000.0;536820000000.0001;552670000000.0;552320000000.0;557220000000.0;556300000000.0;576560000000.0;586410000000.0;586690000000.0;608780000000.0;617470000000.0;622580000000.0;639570000000.0;640580000000.0;640690000000.0;595620000000.0;633090000000.0;613070000000.0;630150000000.0;638730000000.0;626650000000.0;646890000000.0;648400000000.0
dnk;electricity_generation_total;29143000000.0;30783000000.0;29489000000.0;28070000000.0;22934000000.0;25977000000.0;36540000000.0;30733000000.0;33969000000.0;40196999999.999985;36663000000.0;53578000000.0;44312000000.0;41111000000.000015;38915000000.0;36049000000.0;37726000000.0;39283000000.0;46178999999.999985;40440000000.0;36241000000.0;45602000000.0;39315000000.0;36616000000.0;36384000000.0;38863000000.0;35229000000.0;30702000000.0;34742000000.0;32182000000.0;28946000000.0;30313000000.0
dza;electricity_generation_total;12274000000.0;12981000000.0;12722000000.0;13966000000.0;15324000000.0;16104000000.0;17345000000.0;18286000000.0;19414000000.0;19883000000.0;19715000000.0;20654000000.0;21497000000.0;23262000000.0;24757000000.0;25412000000.0;26625000000.0;27648000000.0;29528000000.0;31249000000.0;33915000000.0;35227000000.0;37310000000.0;40236999999.999985;43111999999.999985;45735000000.0;53074000000.0;57397000000.0;59890000000.0;64241000000.0;68798000000.0;70248000000.0
ecu;electricity_generation_total;4558000000.0;5012000000.0;5384000000.0;5641000000.0;5769000000.0;6348900000.0;6974500000.0;7196000000.0;7411300000.0;8144000000.0;8428600000.0;9679200000.0;10362000000.0;10890000000.0;10308000000.0;10612000000.0;11050000000.0;11888000000.0;11546000000.0;12585000000.0;13404000000.0;15116000000.0;17337000000.0;18609000000.0;18265000000.0;19510000000.0;20544000000.0;22848000000.0;23260000000.0;24307000000.0;25950000000.0;27078000000.0
egy;electricity_generation_total;31658000000.0;33684000000.0;37135000000.0;38972000000.0;40894000000.0;42863000000.0;44880000000.0;46739000000.0;48321000000.000015;50446000000.000015;53398000000.0;56561000000.000015;61000000000.0;65158999999.999985;70747000000.0;72980000000.0;80220000000.0;85681000000.0;91517000000.00003;97304000000.0;103980000000.0;110710000000.0;118970000000.0;127850000000.0;133340000000.0;143470000000.0;148630000000.0;161850000000.0;164000000000.0;170200000000.0;180590000000.0;187290000000.0
esp;electricity_generation_total;138180000000.0;140110000000.0;144710000000.0;151420000000.0;160390000000.0;164620000000.0;170220000000.0;173280000000.0;170770000000.0;171570000000.0;178920000000.0;188330000000.0;201030000000.0;205780000000.0;217170000000.0;232030000000.0;242370000000.0;246620000000.0;264520000000.0;281010000000.0;294240000000.0;302870000000.0;312210000000.0;317860000000.0;296300000000.0;303000000000.0;291760000000.0;297560000000.0;283560000000.0;278750000000.0;280480000000.0;274380000000.0
fin;electricity_generation_total;49394000000.0;48948000000.0;53016000000.000015;53491000000.000015;53358999999.999985;53983000000.000015;57495000000.0;57277000000.0;60575000000.0;65031000000.000015;63188000000.0;69372000000.0;68975000000.0;70170000000.0;69433000000.0;69952000000.0;74340000000.0;74899000000.0;84301000000.0;85774000000.0;70332000000.0;82287000000.0;81248000000.0;77436000000.0;72062000000.0;80663000000.0;73473999999.99997;70393999999.99997;71240000000.0;68084000000.0;68578999999.999985;68581999999.999985
fra;electricity_generation_total;343480000000.0;362230000000.0;377870000000.0;391630000000.0;406140000000.0;419360000000.0;454940000000.0;462840000000.0;471540000000.0;475780000000.0;492970000000.0;512320000000.0001;503600000000.0;510020000000.0;523510000000.0;540520000000.0;549540000000.0;559320000000.0;562350000000.0;572630000000.0;575350000000.0;575010000000.0;570280000000.0;574860000000.0;542770000000.0;574250000000.0;566790000000.0;565060000000.0;573090000000.0;561690000000.0;568740000000.0;553360000000.0
gbr;electricity_generation_total;298090000000.0;301070000000.0;302110000000.0;308820000000.0;314580000000.0;319740000000.0;322880000000.0;321040000000.0;323100000000.0;326560000000.0;337420000000.0;350870000000.0;350670000000.0;362700000000.0;368150000000.0;377070000000.0;384780000000.0;387250000000.0;398210000000.0;393930000000.0;398360000000.0;397280000000.0;396830000000.0;388920000000.0;376750000000.0;381770000000.0;367420000000.0;363580000000.0;358380000000.0;338170000000.0;339100000000.0;338580000000.0
grc;electricity_generation_total;27740000000.0;28237000000.0;30272000000.0;33394000000.0;34455999999.999985;35003000000.0;35813000000.0;37410000000.0;38396000000.0;40623000000.000015;41551000000.0;42556999999.999985;43505000000.0;46328999999.999985;49620000000.0;53843000000.0;53703999999.999985;54608000000.000015;58478000000.0;59346000000.0;60020000000.0;60788999999.999985;63496000000.0;63748999999.999985;61365000000.0;57391999999.999985;59436000000.000015;60958999999.999985;57152000000.0;50474000000.0;51873999999.999985;52471000000.0
hkg;electricity_generation_total;19249000000.0;21419000000.0;23754000000.0;25508000000.0;27363000000.0;28960000000.0;31889000000.0;35076000000.0;35946999999.999985;26741000000.0;27916000000.0;28440000000.0;28943000000.0;31134000000.0;29496000000.0;31329000000.0;32429000000.0;34312000000.0;35506000000.0;37129000000.0;38448000000.0;38611999999.999985;38948000000.0;37990000000.0;38728000000.0;38292000000.0;39026000000.0;38751999999.999985;39063000000.0;39803000000.000015;37977000000.0;38205000000.0
hun;electricity_generation_total;26794000000.0;28044000000.0;29749000000.0;29233000000.0;29596000000.0;28436000000.0;29963000000.0;31685000000.0;32915000000.0;33515000000.0;34018000000.0;35090000000.0;35397000000.0;37190000000.0;37832000000.0;35191000000.0;36415000000.0;36157000000.0;34145000000.0;33708000000.0;35756000000.0;35859000000.0;39960000000.0;40025000000.0;35908000000.0;37371000000.0;36019000000.0;34624000000.0;30294000000.0;29392000000.0;30342000000.0;31541000000.0
idn;electricity_generation_total;16369000000.0;18415000000.0;20720000000.0;24807000000.0;28487000000.0;33336000000.0;37674000000.0;41008999999.999985;44415000000.0;51706000000.0;58885000000.0;66718000000.0;76488999999.99997;77263000000.0;84268999999.99997;92640000000.0;101650000000.0;108210000000.0;112930000000.0;120160000000.0;127360000000.0;133110000000.00003;142410000000.0;149440000000.0;156800000000.0;169790000000.0;183420000000.0;200320000000.0;216190000000.0;228490000000.0;233980000000.0;248850000000.0
ind;electricity_generation_total;186390000000.0;202680000000.0;223670000000.0;241300000000.0;272450000000.0;287760000000.0;320460000000.0;337150000000.0;362180000000.0;387970000000.0;427150000000.0;443210000000.0;469150000000.0;505080000000.0;547360000000.0;571390000000.0;586090000000.0;609650000000.0;638130000000.0;677010000000.0;704610000000.0;744100000000.0;794770000000.0;825770000000.0;879660000000.0;935300000000.0;1031100000000.0;1088200000000.0;1141400000000.0;1252000000000.0;1308400000000.0;1400800000000.0
irl;electricity_generation_total;12088000000.0;12652000000.0;13064000000.0;13228000000.0;13833000000.0;14501000000.0;15136000000.0;15999000000.0;16382000000.0;17088000000.0;17842000000.0;19158000000.0;19957000000.0;21155000000.0;22014000000.0;23982000000.0;24960000000.0;25200000000.0;25240000000.0;25598000000.0;25983000000.0;27504000000.0;28738000000.0;30262000000.0;28352000000.0;28689000000.0;27478000000.0;27605000000.0;26147000000.0;26319000000.0;28389000000.0;30433000000.0
irn;electricity_generation_total;39481000000.0;42013000000.000015;45062000000.0;46970000000.0;51431000000.000015;57654000000.0;62815000000.0;67178000000.0;74685000000.0;81005000000.0;84353000000.0;88760000000.0;96982999999.99997;102390000000.0;110090000000.0;119350000000.0;128169999999.99997;138220000000.0;145660000000.0;156410000000.0;169670000000.0;184280000000.0;196040000000.0;206300000000.0;215100000000.0;226100000000.0;235500000000.0;247700000000.0;254600000000.0;274600000000.00006;281900000000.0;285980000000.0
isr;electricity_generation_total;15431000000.0;16034000000.0;17677000000.0;19352000000.0;20453000000.0;20898000000.0;21514000000.0;24686000000.0;26000000000.0;28316000000.0;30437000000.0;32569000000.0;35111000000.0;37976000000.0;39227000000.0;42958000000.0;43838000000.0;45428000000.000015;47048000000.0;48471000000.0;49833000000.0;51811000000.000015;55107000000.0;55831000000.0;55306999999.999985;58486000000.000015;59277000000.0;62965000000.0;61368000000.0;61295000000.0;65413000000.0;67391000000.000015
