geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
afg;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;260;71;0;0
aia;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alb;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0
ant;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
arg;storm_deaths_annual_number;0;0;0;60;100;20;0;0;5;0;0;0;0;0;0;0;1;1;0;0;0;0;0;15;0;6;0;0;0;0;1;20;3;12;0;11;0;0;0
asm;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
atg;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0
aus;storm_deaths_annual_number;13;3;0;0;76;0;0;0;5;15;0;0;1;0;0;27;7;0;1;4;0;0;2;0;27;8;7;0;0;7;1;2;0;1;3;1;0;2;1
aut;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;4
bdi;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bel;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;6;0;0;0;2;0;0;5;0;0;0;0;2;0
bgd;storm_deaths_annual_number;300300;163;200;1900;2800;0;47;634;1030;53;11;1085;0;685;0;15120;184;12;1064;815;693;139000;23;452;205;753;626;425;321;128;99;238;122;60;239;177;154;4275;0
bgr;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
bhs;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;12;1;0;1;0
bih;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
blr;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
blz;storm_deaths_annual_number;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;14;30;0;0;0;3;0;0;7
bmu;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
bol;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0
bra;storm_deaths_annual_number;0;0;0;0;0;0;0;10;0;0;15;0;33;0;10;22;0;0;0;36;0;0;0;0;0;0;0;3;0;0;0;13;0;0;4;2;0;0;3
brb;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
btn;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
caf;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
can;storm_deaths_annual_number;10;0;0;0;0;14;0;0;0;0;0;0;0;0;0;12;0;26;0;0;0;0;0;0;0;2;0;1;28;7;11;11;0;2;0;0;0;6;0
che;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;2;0;0;0;0;0;12;0;0;1;0;0;0;1;0;0
cheslo;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chl;storm_deaths_annual_number;0;0;0;0;0;0;0;15;0;0;0;0;0;0;127;0;16;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;45;0;0;0
chn;storm_deaths_annual_number;107;0;0;0;0;0;0;0;0;0;188;0;0;510;13;296;368;406;335;1115;629;255;860;214;1486;681;637;282;96;496;162;344;108;61;249;426;1500;95;74
cod;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;8;3;0;10
cok;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0
col;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;26;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0;0;0;0;0
com;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;2;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpv;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;3;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cri;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;54;0;8;0;0;0;0;0;0;1;0;0;4
cub;storm_deaths_annual_number;20;0;0;0;0;0;0;0;6;0;3;0;24;0;0;4;0;0;0;0;0;0;0;5;2;2;0;0;6;4;0;5;3;0;4;20;0;1;7
cym;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
cyp;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cze;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2
deu;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;6;11;5;0;0;3;18;0;6;22;15;2;2;11;18;5
deu_east;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
deu_west;storm_deaths_annual_number;0;0;54;0;0;0;82;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dji;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dma;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;40;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;2;0
dnk;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;9;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;0;1;0;0;4;0;0;0
dom;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;1400;7;0;0;0;0;0;12;3;0;0;0;0;0;0;0;11;24;0;347;0;0;3;0;8;15;9;0;163;13
dza;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;13;0;10;0;0;0
egy;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;13;0;0;0;0
eri;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
esp;storm_deaths_annual_number;0;0;0;19;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;33;9;0;0;0;12;0;0;21;0;6;14;10;0;0;0;0;0;1;0
est;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fin;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fji;storm_deaths_annual_number;0;0;3;59;0;0;0;0;0;53;18;0;0;9;0;32;1;1;0;0;0;0;1;21;0;0;0;25;0;12;0;1;0;17;16;0;0;1;7
fra;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;12;11;4;0;0;4;0;9;43;0;48;12;0;16;1;0;6;103;6;14;5;6;11;0;5;5;3
fsm;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;1;0;0;0;0
gbr;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;12;0;5;22;0;0;20;0;13;83;48;0;0;0;9;5;0;35;11;16;0;14;0;0;10;0;13;0
geo;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gin;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
glp;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
gmb;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0
gnb;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
grc;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0
grd;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;1;0;0;0
gtm;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;384;0;0;8;2;0;0;1513;0;0;17
gum;storm_deaths_annual_number;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0
hkg;storm_deaths_annual_number;0;115;0;1;1;0;38;1;11;13;2;0;5;22;0;2;5;0;0;9;0;22;2;7;0;0;0;1;0;2;0;0;0;4;0;0;0;0;2
hnd;storm_deaths_annual_number;0;0;0;0;8000;0;0;0;0;0;0;0;130;0;0;0;0;0;0;0;0;0;0;0;0;18;1;0;14600;0;0;21;0;0;0;53;0;1;0
hrv;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
hti;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;8;220;0;0;0;0;0;0;0;54;0;0;0;0;0;1122;0;66;0;190;0;0;0;4;26;2757;71;5;102;698
hun;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;7;0;4;5;0;0
idn;storm_deaths_annual_number;0;0;0;1650;10;0;25;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
ind;storm_deaths_annual_number;0;9718;230;0;20;501;270;14210;811;594;153;805;744;782;524;178;390;166;74;93;1843;125;85;186;219;222;1537;25;3471;10380;0;99;144;164;0;82;190;0;0
irl;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;11;0;0;0;2;0;0;0;0;0;2;0;2;8;1;0;0;0;0;0;0;0;0
irn;storm_deaths_annual_number;0;0;60;0;0;14;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;22;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;12;28
isr;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
ita;storm_deaths_annual_number;35;0;0;38;0;0;0;0;1;0;0;0;0;0;0;0;0;33;0;0;6;0;0;8;3;0;0;22;0;0;0;0;0;0;0;0;1;0;0
jam;storm_deaths_annual_number;0;0;0;6;0;0;0;0;0;0;6;0;0;0;0;7;0;0;49;0;0;0;0;0;4;0;0;0;0;0;0;1;4;0;16;6;0;5;13
jor;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;5;0;0;0;0;0;0
jpn;storm_deaths_annual_number;0;135;50;101;284;68;169;32;6;71;7;163;218;175;0;49;17;8;0;15;40;101;11;113;3;3;6;7;41;26;13;22;7;21;287;135;20;13;0
kaz;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0
ken;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kgz;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
khm;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0
kir;storm_deaths_annual_number;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kna;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
kor;storm_deaths_annual_number;39;109;0;0;0;0;0;0;0;115;165;113;68;0;0;57;33;619;0;109;27;72;0;32;28;73;0;0;100;4;33;11;204;130;14;11;0;20;0
lao;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;8;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0
lbn;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lbr;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
